ក	ka
កថាន	kathan
កថានៈ	kathaneak
កថាបទ	kathabt
កថាបរិយោសាន	kathabriyousan
កថាភាគ	kathapheak
កថាមគ្គ	kathamkk
កថាមុខ	kathamukh
កថាវត្ថុ	kathavttho
កថាវសាន	kathavsan
កថាសល្លាប	kathaslleab
កថាអវសាន	kathaavosan
កថិក	kathek
កថិត	kathet
កថិន	kathen
កថិនកម្ម	kathenkamm
កថិនត្ថារកិច្ច	kathenttharkechch
កថិនទាន	kathentean
កទម្ព	katomp
កទលិ	katoli
កទលិបក្ក	katolibkk
កទល់	katol
កទឹកកដី	katuekkadei
កទ័ព	katp
កន	kan
កនកៈ	kanokak
កនគេ	kanoke
កនបន	kanoban
កនយើង	kanoyeung
កនិដ្ឋ	kanidth
កនិដ្ឋភគិនី	kanidthphokini
កនិដ្ឋា	kanidtha
កន់	kan
កន់តារ័តធា	kantartthea
កន់នប់	kannb
កន្ដា	kanda
កន្ដាញ	kandanh
កន្ដាញ់	kandanh
កន្ដារ	kandar
កន្ដឹម	kandoem
កន្ដុលឪ	kandol
កន្ដើយ	kandaeuy
កន្ឋាំងជើង	kanthangcheung
កន្ឋុក	kanthok
កន្ឋុច	kanthoch
កន្ឋុល	kanthol
កន្ត	kant
កន្តង	kantng
កន្តងរ៉ង	kantngorng
កន្តប	kantb
កន្តរ៉	kantr
កន្តា	kanta
កន្តាញ	kantanh
កន្តាញ់	kantanh
កន្តារ	kantar
កន្តារទ្ធា	kantartthea
កន្តាវរ៉ាវ	kantavreav
កន្តាំង	kantang
កន្តិញកន្តុញ	kantenhkantonh
កន្តិបកន្តឹម	kantebkantoem
កន្តិល	kantel
កន្តិលកន្តឿ	kantelkantoea
កន្តឹប	kantoeb
កន្តឹម	kantoem
កន្តុញ	kantonh
កន្តុប	kantob
កន្តុបអ៊ឺត	kantobaueut
កន្តុល	kantol
កន្តុលអុក	kantolaok
កន្តុលឪ	kantol
កន្តុលឱ	kantolao
កន្តុលឳ	kantolau
កន្តូ	kantou
កន្តូប	kantoub
កន្តូឡេត	kantoulet
កន្តើយ	kantaeuy
កន្តឿ	kantoea
កន្តៀត	kantiet
កន្តេបកន្តូប	kantebkantoub
កន្តេះឡង់	kantehlng
កន្តែរ៉ែ	kantaereae
កន្តោះកន្តើយ	kantaohkntaeuy
កន្តៅរ៉ៅ	kantaurov
កន្ត្រ	kantr
កន្ត្រក	kantrk
កន្ត្រង	kantrng
កន្ត្រងដូង	kantrngodoung
កន្ត្រងប្រេង	kantrngobreng
កន្ត្រប់	kantrb
កន្ត្រប់ខ្លា	kantrbkhlea
កន្ត្រាក	kantreak
កន្ត្រាករ៉ាក	kantreakreak
កន្ត្រាក់	kantreak
កន្ត្រាក់កន្ត្រើន	kantreakkntreun
